ruta,tamano_bytes,sha256,tipo,proposito,importado_por,dependencias,logica_cliente,logica_servidor,usa_env_vars,posibles_secretos,pii,parece_generado,debe_rastrearse,justificacion
src/lib/supabase/admin.ts,1668,4f9b8993f2ee34e981b1df5bdf9877d963ecf528b0b1b900d26fb6e7032f46ef,Codigo fuente TS,"Cliente admin de Supabase (service_role) + verificacion de API key con comparacion timing-safe",lib/supabase.ts (re-export),"@supabase/supabase-js, crypto, server-only",No,Si,"NEXT_PUBLIC_SUPABASE_URL, SUPABASE_SERVICE_ROLE_KEY (solo nombres, sin hardcodear valores)",No detectado,No,No,SI,"Dependencia ACTIVA de lib/supabase.ts modificado (no commiteado) — sin este archivo esa modificacion no compila"
src/lib/supabase/browser.ts,544,d4e3d9043fedf19b74ffcb393c5b0bb76a2f4df04b84b13833de969d274b6f2f,Codigo fuente TS,Cliente Supabase de navegador estandar (@supabase/ssr),"lib/supabase.ts, lib/supabase-browser.ts (ambos modificados no commiteados)",@supabase/ssr,Si,No,"NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY (solo nombres)",No detectado,No,No,SI,"Dependencia ACTIVA — mismo motivo que admin.ts"
src/lib/supabase/server.ts,1014,e0f30825abcc0cce8fc951065f541768b876337293a410b16093c46a70e9b5f7,Codigo fuente TS,Cliente Supabase de servidor con manejo de cookies SSR,lib/supabase-ssr.ts (modificado no commiteado),"@supabase/ssr, next/headers",No,Si,"NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY (solo nombres)",No detectado,No,No,SI,"Dependencia ACTIVA — mismo motivo"
src/lib/payments/pixelpay.ts,1509,5a3b8dc2f6b3917b610dfb67a9e4995d0e3f24e1f6b797d8aed183f81bd99748,Codigo fuente TS,"Cliente HTTP para gateway de pagos PixelPay (alterno/adicional a PayPal)",Ninguno de los tracked hoy — es infraestructura de soporte para las rutas API de src/app,"fetch nativo, sin librerias externas",No,Si,"PIXELPAY_ENDPOINT, PIXELPAY_KEY_ID, PIXELPAY_SECRET_KEY (solo nombres — valores nunca hardcodeados, con fallback a mensaje de error si faltan)",No detectado,No,No,SI (con revision humana de la decision de producto),"Codigo funcional legitimo, no experimental a medias — pero implica una integracion de pagos alterna que requiere decision de negocio antes de activarse"
src/app/api/v1/billing/pixelpay/checkout/route.ts,1574,36c59832e3558e7dae5293ee0537a7c1881351a25fbdf65b9ab989ab6d838f00,Ruta API Next.js,Genera URL de checkout hosted de PixelPay con firma MD5,Ninguno tracked hoy (ruta standalone),"crypto (createHash)",No,Si (route handler),"PIXELPAY_KEY_ID, PIXELPAY_SECRET_KEY, PIXELPAY_ENDPOINT (solo nombres)",No detectado — usa fallback 'demo-secret'/'demo-key' si faltan las env vars (no un secreto real embebido),No,No,SI (con revision humana),"Firma MD5 — algoritmo debil para firmas de pago, requiere revision de seguridad antes de activar en produccion real"
src/app/api/v1/billing/pixelpay/webhook/route.ts,1445,29a24c55418cfe10f631b7d6463ec7d3bbe62293a27456e15646db899af46d21,Ruta API Next.js,Webhook receptor de confirmacion de pago PixelPay,Ninguno tracked hoy,@supabase/supabase-js,No,Si (route handler),"NEXT_PUBLIC_SUPABASE_URL, SUPABASE_SERVICE_ROLE_KEY (solo nombres)",No detectado,No,No,SI (con revision humana obligatoria de seguridad),"CRITICO: no verifica ninguna firma del webhook de PixelPay antes de procesar el body — cualquiera podria POSTear {status:'approved',...} y activar un plan sin pago real. Requiere correccion de seguridad ANTES de cualquier activacion, no solo revision"
src/app/api/billing/manual-transfer/route.ts,1667,dab18e319338cf34775b8b3e8a5ca09cd2286ae956e5045c8fb669b5d70500c9,Ruta API Next.js,Registra solicitud de pago por transferencia bancaria manual para verificacion humana posterior,Ninguno tracked hoy,@supabase/supabase-js,No,Si (route handler),"NEXT_PUBLIC_SUPABASE_URL, SUPABASE_SERVICE_ROLE_KEY (solo nombres)",No detectado,No,No,SI,"Exige Authorization Bearer (verifica presencia del header, NO verifica que el token sea valido contra Supabase Auth antes de insertar) — requiere revision de seguridad antes de activar"
src/components/billing/CheckoutModal.tsx,9472,9f57be627690dc0683f3495de89868b8b5f9e9ccfe1df48bbfd84c1fe0b372e7,Componente React (cliente),"Modal de checkout multiproveedor (tarjeta PixelPay / PayPal / transferencia)",app/pricing/PricingCheckoutPanel.tsx (no rastreado),"lib/supabase-browser (tracked), app/components/PayPalSubscribeButton (tracked)",Si,No,NEXT_PUBLIC_WHATSAPP_NUMBER (solo nombre),No,No,No,SI (con revision de negocio),"Contiene numeros de cuenta bancaria (Ficohsa/BAC/Atlantida) con patron claramente secuencial/placeholder (01-234-567890, 02-345-678901, 03-456-789012) — APARENTAN ser datos de ejemplo, no confirmados como cuentas reales; requiere que el propietario confirme antes de cualquier activacion publica"
src/components/billing/MultiCheckout.tsx,3273,e3b4b06a183fe191d60cde576c89d7da657bce8e50124deb787b4b5d55208432,Componente React (cliente),Selector de metodo de pago B2B (PixelPay/PayPal/transferencia),app/pricing/PricingCheckoutPanel.tsx (no rastreado),src/components/billing/BankTransferModal,Si,No,Ninguna directa,No,No,No,SI,"organizationId hardcodeado como 'demo-org' — confirma estado de desarrollo/demo, no listo para produccion tal cual"
src/components/billing/BankTransferModal.tsx,2321,414171c3978a56d067bff3aad4fddf361b97dfaebad6fe22fcb12b78adc9ed1c,Componente React (cliente),Modal con instrucciones de transferencia bancaria y enlace de WhatsApp,src/components/billing/MultiCheckout.tsx,Ninguna,Si,No,NEXT_PUBLIC_WHATSAPP_NUMBER (solo nombre),No,No,No,SI (con revision de negocio),"Mismo patron de cuenta bancaria placeholder que CheckoutModal.tsx — mismo numero de cuenta Ficohsa repetido exactamente (01-234-567890), lo que refuerza que es un dato de ejemplo compartido, no una cuenta real distinta por banco"
src/components/shared/StreamConsole.tsx,3729,454b5c56c3649c4ff21e442d215ce65fcbdbf6839ea9add4c126b7811cdaa72b,Componente React (cliente),"Consola visual de progreso en tiempo real para un pipeline de auditoria de 4 etapas (Ollama/MiniMax/Tavily/Claude)",components/ChatInterface.tsx (modificado, no commiteado),src/hooks/useAlertsSocket,Si,No,Ninguna directa,No,No,No,SI,"Dependencia ACTIVA de ChatInterface.tsx modificado — sin este archivo esa modificacion no compila. Feature no relacionada a billing, es una UI de monitoreo para el modulo ai-agents/auditor"
src/hooks/useAlertsSocket.ts,5397,affe7a288b275c5d4844e3c9e7570a3c0627fb44b00aa8612ea03a5e32f44af3,Hook React (cliente),Hook de conexion WebSocket para recibir alertas en tiempo real con validacion Zod,src/components/shared/StreamConsole.tsx,zod,Si,No,NEXT_PUBLIC_ALERTS_SOCKET_URL (solo nombre — fallback a ws://localhost:3001),No,No,No,SI,"Dependencia ACTIVA transitiva de ChatInterface.tsx. El fallback a localhost:3001 es una URL de desarrollo, no un secreto — requiere configurar NEXT_PUBLIC_ALERTS_SOCKET_URL real antes de produccion o el WebSocket simplemente no conectara en Vercel"
src/modules/ai-agents/core/auditor.ts,10607,752c5d41b768fe18fed266d49cf3b6c5eb842d2fbc5bab29596ead78546a5c9e,Modulo TS (logica de servidor),"Orquestador de un pipeline de auditoria juridica de 4 etapas: Ollama (local) -> MiniMax Vision -> Tavily -> Claude (consolidacion)",Ninguno tracked hoy,fetch nativo hacia APIs externas (Ollama local/ MiniMax/Tavily/Anthropic),No,Si,"OLLAMA_HOST, OLLAMA_MODEL, ANTHROPIC_API_KEY, MINIMAX_API_KEY, TAVILY_API_KEY (solo nombres — todos con fallback 'demo-key', nunca hardcodeados)",No,No,No,SI (con revision de producto),"Feature completa y no trivial (10KB) sin ninguna ruta API tracked que la exponga hoy — es logica de backend lista pero sin punto de entrada conectado; requiere decision de si se activa, se mantiene como backlog, o se descarta"
